name,ground truth molecule,predicted molecule,target density,target detonation velocity,target explosion capacity,target explosion pressure,target explosion heat,best density,best detonation velocity,best explosion capacity,best explosion pressure,best explosion heat,mape,feasibility,tanimoto_morgan2048
trinitroanisole,COc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],O=[N+]([O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,1.633,"6,997.27",588.7064,20.0014,"5,606.06",1.6337,"7,149.68",604.0215,20.4914,"5,799.91",0.021463,0.574,0.5
picric acid,O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,O=[N+]([O-])n1ncnc1-c1cnon1,1.6932,"7,494.42",604.0215,24.4695,"5,746.55",1.6725,"7,609.56",657.702,24.723,"5,897.36",0.030607,0.492,0.15555555555555556
CL-20,O=[N+]([O-])N12CN(CN(N1[N+](=O)[O-])C3N(CN(C2N3[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],Nn1nnnc1C1=NN([N+](=O)[O-])C(O)N1,1.7381,"7,973.63",811.4407,30.6536,"6,179.33",1.7694,"8,388.84",771.5695,30.697,"5,632.70",0.041818,0.441,
TATB,Nc1c([N+](=O)[O-])c(N)c([N+](=O)[O-])c(N)c1[N+](=O)[O-],Cc1c([N+](=O)[O-])cc([N+](=O)[O-])c(N(CO)[N+](=O)[O-])c1[N+](=O)[O-],1.7429,"7,513.66",604.6726,24.4758,"5,680.56",1.7509,"7,526.09",603.6776,24.7235,"5,637.88",0.005108,0.494,0.23684210526315788
FOX-7,NNC(NN)=C([N+](=O)[O-])[N+](=O)[O-],N=[N+]([O-])NCC(CN)OO[N+](=O)[O-],1.7975,"8,840.35",647.0414,33.7897,"7,089.93",1.7862,"8,855.82",659.4266,34.7563,"7,081.49",0.011391,0.517,0.1794871794871795
nitroglycerin,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],O=[N+]([O-])OCC(CO[N+](=O)[O-])(CO[N+](=O)[O-])OO[N+](=O)[O-],1.7794,"8,598.81",617.6634,34.1632,"7,219.91",1.7791,"8,580.23",615.99,33.9855,"7,176.64",0.003244,0.441,0.3333333333333333
octanitrocubane,O=[N+]([O-])C12C3([N+](=O)[O-])C4([N+](=O)[O-])C1([N+](=O)[O-])C1([N+](=O)[O-])C2([N+](=O)[O-])C3([N+](=O)[O-])C41[N+](=O)[O-],O=[N+]([O-])c1nc([N+](=O)[O-])n([N+](=O)[O-])c1-c1cn([N+](=O)[O-])nn1,1.8337,"8,621.97",624.2585,33.6983,"6,740.83",1.8313,"8,745.16",656.0346,34.4489,"6,593.85",0.022117,0.433,0.125
